container_id,ship_id
C1700482930,S5744009
C5154887993,S7180984
C6553600727,S6957173
C7816962092,S2499002
C6264403357,S5843529
C9201875983,S4535873
C0154913900,S7680544
C4214111062,S5692945
C5118682025,S1253918
C3427735486,S7592991
C4245079326,S2627719
C1438776451,S9804203
C3278323073,S0430701
C4919635043,S5692945
C2941402190,S2499002
C3822082736,S0448164
C4193341371,S9292431
C0539727165,S4878182
C5070556633,S0469425
C0548895278,S6849843
C3514658206,S5112938
C7186436185,S6611031
C4558772548,S7420526
C0444276022,S8759908
C7239599415,S0477059
C5393999080,S8205074
C7175049951,S8094510
C6384363175,S4216571
C8057225042,S9013432
C6990473382,S1079584
C6114876363,S7019261
C4154718635,S6957173
C7353345461,S4313858
C7885911079,S8611717
C5102785318,S0575154
C0719900725,S6579957
C2279683120,S1638406
C3264179540,S1987861
C8929661482,S7029918
C7616059410,S2979576
C2770168266,S3805454
C3173361598,S5579887
C1888260206,S8980459
C2849566017,S1079584
C6188835649,S3977574
C7414727946,S5920239
C8507531632,S5112938
C2426416727,S6088364
C1998283855,S1485890
C7407902827,S6437789
C4277303122,S0430701
C4154138198,S4313858
C3027195027,S8759908
C1941227151,S8094510
C4905170412,S5692945
C7403546549,S2747553
C9093588828,S7501294
C5610825927,S4878182
C5715290576,S5112938
C4736412924,S7390545
C1682095678,S6028024
C5771051570,S1392076
C9567984316,S8759908
C5729704052,S0697800
C4377183389,S6103313
C0865158030,S7592991
C3602669887,S0376647
C2188394789,S6088364
C2301907715,S5469654
C9165597103,S8205074
C4094777502,S9047326
C3311182964,S4480379
C0561829551,S7636913
C6514217913,S0270241
C4042308921,S5158506
C0678622218,S0114669
C1081050745,S8693906
C9839947508,S4380511
C0577435970,S4842491
C2916291590,S0198638
C6731026620,S7917790
C2450079209,S7135573
C5767555653,S7218161
C3879531243,S2213421
C1020967130,S4063782
C4527728704,S3977574
C9656930729,S9084180
C3433830941,S9007497
C3135537489,S8082687
C8895379082,S9998037
C9192363794,S8415756
C9199351075,S7441688
C3983644305,S5158506
C1736961779,S2666496
C1153199155,S5262380
C7586168978,S9933108
C8147465232,S7966330
C6762647173,S7180984
C5595498453,S1031460
C2361066132,S4128025
C9681986100,S9629137
C5771923385,S4392759
C2439139477,S3906787
C6910226711,S2166341
C0112726495,S1685719
C9950222175,S3224812
C7605272177,S5262380
C5930653216,S0847889
C9314768717,S7029918
C6148750872,S4128025
C4857167041,S4063782
C0431030148,S3722816
C4087656184,S0343518
C7060118683,S2298004
C2988429206,S1079584
C5169657796,S7917790
C1911343613,S2769305
C0856664488,S1485890
C9674237336,S2979576
C8975526354,S9802156
C1304482174,S8415756
C1960949778,S6665960
C9804167890,S7953646
C6717323417,S9804203
C3554737190,S6446154
C8424803289,S7420526
C8438940081,S7525465
C2090361927,S9007497
C6955165519,S5579887
C1891303077,S1973459
C7928084111,S5112938
C4973906741,S8153108
C4235913331,S3722816
C2981008425,S7680544
C1504206227,S5205261
C7293289957,S8094510
C5325771103,S3252598
C6398992378,S3388851
C2989223195,S6918733
C1150155587,S7953646
C8409172707,S3324703
C7119708033,S5110523
C8453909042,S3380224
C3107513365,S1973459
C9725660518,S7966330
C2610258917,S4931889
C7365586349,S9802156
C9740481710,S4712806
C1847008732,S7019261
C5196829588,S6109773
C7602100218,S9933108
C7895852809,S6028024
C6419568261,S1079584
C7686740213,S5579887
C9884224939,S8785520
C8739472191,S7917790
C5968983654,S4480379
C3334152599,S4573506
C4508492653,S5815243
C8673118760,S8094510
C4868434500,S4712806
C2617450447,S5815243
C1447535114,S3324703
C5829720945,S9500294
C0533367546,S1048044
C9317897689,S7747719
C8758288019,S5469654
C9807742431,S7019261
C0116491854,S7135573
C6266528758,S9933108
C5948293418,S0210785
C3631176817,S9084180
C3057951763,S0343518
C2917308583,S1322708
C7545140514,S7287344
C9774906719,S2754116
C9104246596,S2610311
C3675743129,S9934127
C6547616343,S5112938
C1761350309,S7644167
C8727606529,S2619105
C0937005483,S2979576
C4432937465,S8415756
C4375292274,S4480379
C2579461754,S2298004
C5489662887,S5502062
C5649605859,S5630153
C0536515952,S1638406
C8387219012,S6406509
C4529784209,S5708649
C3209486158,S8759908
C7693781841,S0469425
C6749032871,S7193420
C6537066024,S2619105
C9471171507,S0210785
C5512804448,S9500294
C2944376152,S5794392
C2759449838,S2666496
C6562398554,S0664890
C1535334956,S1048044
C7615332353,S1728881
C1522495611,S3805454
C4984302048,S7966330
C8785887673,S7441688
C5694185095,S6842553
C1089280279,S0839359
C6329835360,S5029316
C0213949473,S1079584
C3389585071,S7218161
C7658552140,S7680544
C8665536404,S6783877
C8397428293,S5262380
C9122526910,S6163803
